"full_name","spkid","orbit_id","a","e","i","q","ad","om","w","ma","n","tp","neo","pha"
" 67399 (2000 PJ6)",20067399,"JPL 88",1.301,0.3462,14.69,0.851,1.75,332.86,225.33,206.30,0.664,2460831.98,Y,N
" 68216 (2001 CV26)",20068216,"JPL 484",1.32,0.3267,17.99,0.889,1.75,18.13,48.74,301.79,0.65,2460690.05,Y,Y
" 68267 (2001 EA16)",20068267,"JPL 129",1.51,0.4273,38.83,0.865,2.15,8.00,317.44,163.23,0.5314,2460293.32,Y,N
" 68346 (2001 KZ66)",20068346,"JPL 238",1.507,0.4166,16.70,0.879,2.14,219.37,140.29,133.79,0.5326,2460349.29,Y,Y
" 68348 (2001 LO7)",20068348,"JPL 314",2.155,0.8410,25.37,0.343,3.97,236.22,181.66,52.81,0.3116,2460431.01,Y,N
" 68372 (2001 PM9)",20068372,"JPL 109",1.618,0.4160,8.11,0.945,2.29,252.96,322.33,157.97,0.4789,2460270.62,Y,Y
" 68548 (2001 XR31)",20068548,"JPL 250",1.707,0.4368,22.72,0.961,2.45,302.02,24.71,186.50,0.4419,2460993.10,Y,Y
" 68950 (2002 QF15)",20068950,"JPL 521",1.057,0.3443,25.15,0.693,1.42,236.21,255.57,54.57,0.9069,2460540.33,Y,Y
" 69230 Hermes (1937 UB)",20069230,"JPL 189",1.655,0.6239,6.07,0.622,2.69,34.05,92.90,279.39,0.463,2460774.62,Y,Y
" 85182 (1991 AQ)",20085182,"JPL 156",2.22,0.7777,3.12,0.494,3.95,339.40,243.23,59.27,0.2979,2460401.55,Y,Y
" 85236 (1993 KH)",20085236,"JPL 171",1.234,0.3110,12.81,0.850,1.62,54.36,293.82,252.62,0.7192,2460749.81,Y,Y
" 85585 Mjolnir (1998 FG2)",20085585,"JPL 32",1.298,0.3563,4.08,0.835,1.76,2.31,95.42,37.53,0.6669,2460544.22,Y,Y
" 85640 (1998 OX4)",20085640,"JPL 64",1.58,0.4859,4.52,0.812,2.35,299.57,117.30,15.27,0.4961,2460569.73,Y,Y
" 85713 (1998 SS49)",20085713,"JPL 287",1.923,0.6388,10.79,0.695,3.15,40.95,103.13,239.57,0.3695,2460926.40,Y,Y
" 85774 (1998 UT18)",20085774,"JPL 195",1.403,0.3288,13.59,0.942,1.86,64.62,50.15,178.64,0.5932,2460299.33,Y,Y
" 85818 (1998 XM4)",20085818,"JPL 211",1.657,0.4160,62.72,0.968,2.35,235.64,301.22,306.51,0.4622,2460716.23,Y,N
" 85938 (1999 DJ4)",20085938,"JPL 126",1.853,0.4846,9.14,0.955,2.75,19.87,197.79,41.94,0.3909,2460493.20,Y,Y
" 85990 (1999 JV6)",20085990,"JPL 256",1.008,0.3111,5.36,0.695,1.32,124.30,235.57,312.19,0.9733,2460649.62,Y,Y
" 86039 (1999 NC43)",20086039,"JPL 307",1.76,0.5789,7.13,0.741,2.78,311.62,120.81,217.35,0.4221,2460938.41,Y,Y
" 86666 (2000 FL10)",20086666,"JPL 335",1.463,0.4271,29.01,0.838,2.09,186.91,258.87,1.21,0.5569,2460598.32,Y,N
" 86819 (2000 GK137)",20086819,"JPL 162",1.995,0.5059,10.06,0.986,3.00,164.88,150.30,212.48,0.3497,2461022.39,Y,Y
" 86829 (2000 GR146)",20086829,"JPL 286",1.463,0.5750,14.37,0.622,2.30,78.46,31.41,353.40,0.5572,2460612.35,Y,N
" 86878 (2000 HD24)",20086878,"JPL 138",1.342,0.6186,9.47,0.512,2.17,230.99,214.92,314.19,0.6343,2460672.72,Y,N
" 87024 (2000 JS66)",20087024,"JPL 264",1.197,0.1898,14.43,0.970,1.42,230.50,84.94,157.59,0.7529,2460391.20,Y,N
" 87025 (2000 JT66)",20087025,"JPL 80",1.226,0.4835,25.32,0.633,1.82,120.49,359.61,46.30,0.7256,2460536.69,Y,N
" 87311 (2000 QJ1)",20087311,"JPL 382",1.59,0.5121,7.70,0.776,2.40,191.42,343.53,132.63,0.4915,2460330.65,Y,N
" 88254 (2001 FM129)",20088254,"JPL 195",1.182,0.6296,1.52,0.438,1.93,272.11,140.23,166.57,0.7666,2460383.21,Y,Y
